FName,LName,Team,OppTeam,GamePoints,GameAssists,GameRebounds,GmPointsFor,GmPointsAgainst,Year
Ben,Simmons,Philadelphia 76ers,Indiana Pacers,16,11,10,105,66,2015,
Ben,Simmons,Philadelphia 76ers,Miami Heat,5,12,2,63,72,2018,
Ben,Simmons,Philadelphia 76ers,Brooklyn Nets,0,10,1,101,77,2002,
Ben,Simmons,Philadelphia 76ers,Denver Nuggets,15,6,9,69,86,2013,
Ben,Simmons,Philadelphia 76ers,Washington Wizards,13,2,10,90,88,2017,
Ben,Simmons,Philadelphia 76ers,Toronto Raptors,0,2,5,59,105,2012,
Ben,Simmons,Philadelphia 76ers,Portland Trail Blazers,0,6,14,50,78,2014,
Ben,Simmons,Philadelphia 76ers,Minnesota Timberwolves,15,8,8,67,74,2011,
Ben,Simmons,Philadelphia 76ers,San Antonio Spurs,19,5,13,76,80,2007,
Ben,Simmons,Philadelphia 76ers,Utah Jazz,19,5,7,108,89,2001,
Ben,Simmons,Philadelphia 76ers,Los Angeles Lakers,19,6,9,81,96,2011,
Ben,Simmons,Philadelphia 76ers,Sacramento Kings,19,14,9,66,77,2004,
Ben,Simmons,Philadelphia 76ers,New Orleans Hornets,19,8,5,62,80,2016,
Ben,Simmons,Philadelphia 76ers,Dallas Mavericks,11,13,3,104,53,2012,
Ben,Simmons,Philadelphia 76ers,Memphis Grizzlies,11,8,4,59,72,2011,
Ben,Simmons,Philadelphia 76ers,Golden State Warriors,6,5,8,72,97,2011,
Ben,Simmons,Philadelphia 76ers,Toronto Raptors,3,2,10,61,56,2008,
Ben,Simmons,Philadelphia 76ers,Utah Jazz,11,13,6,62,71,2007,
Ben,Simmons,Philadelphia 76ers,Portland Trail Blazers,12,12,7,51,98,2014,
Ben,Simmons,Philadelphia 76ers,Toronto Raptors,10,11,2,52,80,2002,
Ben,Simmons,Philadelphia 76ers,Toronto Raptors,13,8,1,92,51,2016,
Ben,Simmons,Philadelphia 76ers,Orlando Magic,3,14,11,64,64,2007,
Ben,Simmons,Philadelphia 76ers,Phoenix Suns,15,10,8,89,66,2013,
Ben,Simmons,Philadelphia 76ers,Miami Heat,1,14,0,90,62,2017,
Ben,Simmons,Philadelphia 76ers,Atlanta Hawks,2,1,7,81,51,2011,
Ben,Simmons,Philadelphia 76ers,Washington Wizards,13,13,12,107,71,2005,
Ben,Simmons,Philadelphia 76ers,Milwaukee Bucks,5,0,10,103,70,2011,
Ben,Simmons,Philadelphia 76ers,Miami Heat,17,12,6,90,58,2004,
Ben,Simmons,Philadelphia 76ers,Toronto Raptors,13,11,9,105,57,2014,
Ben,Simmons,Philadelphia 76ers,Golden State Warriors,7,4,0,108,50,2009,
Ben,Simmons,Philadelphia 76ers,Los Angeles Lakers,19,7,14,88,62,2018,
Ben,Simmons,Philadelphia 76ers,Utah Jazz,17,10,9,56,63,2008,
Ben,Simmons,Philadelphia 76ers,Charlotte Bobcats,2,6,10,84,85,2016,
Ben,Simmons,Philadelphia 76ers,San Antonio Spurs,14,7,10,92,66,2011,
Ben,Simmons,Philadelphia 76ers,Houston Rockets,7,11,10,85,101,2005,
Ben,Simmons,Philadelphia 76ers,Houston Rockets,17,0,3,83,94,2003,
Ben,Simmons,Philadelphia 76ers,Sacramento Kings,12,9,5,79,68,2010,
Ben,Simmons,Philadelphia 76ers,Houston Rockets,3,0,2,104,99,2013,
Ben,Simmons,Philadelphia 76ers,Minnesota Timberwolves,8,14,0,62,56,2003,
Ben,Simmons,Philadelphia 76ers,Minnesota Timberwolves,11,8,0,85,95,2011,
Ben,Simmons,Philadelphia 76ers,Atlanta Hawks,19,2,13,95,88,2011,
Ben,Simmons,Philadelphia 76ers,Phoenix Suns,2,5,8,76,102,2016,
Ben,Simmons,Philadelphia 76ers,Sacramento Kings,3,10,7,57,78,2006,
Ben,Simmons,Philadelphia 76ers,Milwaukee Bucks,10,12,3,75,83,2000,
Ben,Simmons,Philadelphia 76ers,Washington Wizards,9,1,6,60,72,2007,
Ben,Simmons,Philadelphia 76ers,Charlotte Bobcats,3,3,2,95,86,2014,
Ben,Simmons,Philadelphia 76ers,Charlotte Bobcats,14,2,2,78,63,2013,
Ben,Simmons,Philadelphia 76ers,Sacramento Kings,4,1,8,91,97,2017,
Ben,Simmons,Philadelphia 76ers,Charlotte Bobcats,0,5,1,88,86,2002,
Ben,Simmons,Philadelphia 76ers,Utah Jazz,17,0,12,71,61,2012,
Ben,Simmons,Philadelphia 76ers,New York Knicks,6,8,0,108,103,2010,
Ben,Simmons,Philadelphia 76ers,Orlando Magic,10,12,11,89,66,2007,
Ben,Simmons,Philadelphia 76ers,Orlando Magic,9,1,2,90,75,2012,
Ben,Simmons,Philadelphia 76ers,New York Knicks,2,6,2,85,90,2018,
Ben,Simmons,Philadelphia 76ers,Oklahoma City Thunder,12,0,14,74,58,2011,
Ben,Simmons,Philadelphia 76ers,Detroit Pistons,8,9,3,105,96,2011,
Ben,Simmons,Philadelphia 76ers,Houston Rockets,8,9,12,95,98,2002,
Ben,Simmons,Philadelphia 76ers,Atlanta Hawks,11,10,7,84,76,2005,
Ben,Simmons,Philadelphia 76ers,Chicago Bulls,10,10,6,78,78,2012,
Ben,Simmons,Philadelphia 76ers,Oklahoma City Thunder,11,7,6,91,66,2009,
Ben,Simmons,Philadelphia 76ers,Atlanta Hawks,13,5,10,76,63,2012,
Ben,Simmons,Philadelphia 76ers,Sacramento Kings,18,10,9,108,86,2008,
Ben,Simmons,Philadelphia 76ers,Oklahoma City Thunder,0,14,14,96,100,2011,
Ben,Simmons,Philadelphia 76ers,Houston Rockets,11,0,6,71,104,2001,
Ben,Simmons,Philadelphia 76ers,Utah Jazz,8,5,9,93,97,2017,
Ben,Simmons,Philadelphia 76ers,Oklahoma City Thunder,5,12,1,77,73,2011,
Ben,Simmons,Philadelphia 76ers,Sacramento Kings,13,2,10,67,92,2009,
Ben,Simmons,Philadelphia 76ers,Charlotte Bobcats,11,8,4,83,64,2004,
Ben,Simmons,Philadelphia 76ers,Atlanta Hawks,13,8,12,86,104,2018,
Ben,Simmons,Philadelphia 76ers,Miami Heat,16,11,7,103,106,2002,
Ben,Simmons,Philadelphia 76ers,Brooklyn Nets,3,1,2,76,73,2014,
Ben,Simmons,Philadelphia 76ers,Los Angeles Clippers,14,12,10,70,90,2003,
Ben,Simmons,Philadelphia 76ers,Atlanta Hawks,3,4,7,96,72,2008,
Ben,Simmons,Philadelphia 76ers,New York Knicks,13,0,3,71,79,2002,
Ben,Simmons,Philadelphia 76ers,New Orleans Hornets,14,8,2,70,80,2011,
Ben,Simmons,Philadelphia 76ers,Minnesota Timberwolves,8,10,4,76,109,2017,
Ben,Simmons,Philadelphia 76ers,Miami Heat,12,4,2,55,81,2018,
Ben,Simmons,Philadelphia 76ers,New Orleans Hornets,19,2,9,74,101,2011,
Ben,Simmons,Philadelphia 76ers,New York Knicks,8,1,11,89,99,2012,
Ben,Simmons,Philadelphia 76ers,Phoenix Suns,12,11,9,65,103,2014,
Ben,Simmons,Philadelphia 76ers,Oklahoma City Thunder,2,2,6,105,106,2004,
Ben,Simmons,Philadelphia 76ers,Utah Jazz,8,11,3,105,73,2004,
Ben,Simmons,Philadelphia 76ers,Oklahoma City Thunder,8,11,11,54,107,2015,
Ben,Simmons,Philadelphia 76ers,Brooklyn Nets,11,12,11,108,71,2016,
Ben,Simmons,Philadelphia 76ers,Chicago Bulls,2,11,8,59,76,2006,
Ben,Simmons,Philadelphia 76ers,Denver Nuggets,0,4,11,68,108,2010,
Ben,Simmons,Philadelphia 76ers,Houston Rockets,18,0,7,88,77,2007,
Ben,Simmons,Philadelphia 76ers,Utah Jazz,5,3,12,87,91,2018,
Ben,Simmons,Philadelphia 76ers,Brooklyn Nets,9,6,11,88,68,2015,
Ben,Simmons,Philadelphia 76ers,Golden State Warriors,8,7,6,78,88,2004,
Ben,Simmons,Philadelphia 76ers,Houston Rockets,7,2,2,58,99,2008,
Ben,Simmons,Philadelphia 76ers,Memphis Grizzlies,14,6,5,87,63,2016,
Ben,Simmons,Philadelphia 76ers,Boston Celtics,14,13,9,81,107,2010,
Ben,Simmons,Philadelphia 76ers,Chicago Bulls,9,6,3,84,59,2017,
Ben,Simmons,Philadelphia 76ers,Miami Heat,1,10,9,53,92,2016,
Ben,Simmons,Philadelphia 76ers,Miami Heat,0,8,2,87,54,2005,
Ben,Simmons,Philadelphia 76ers,Orlando Magic,13,5,6,74,94,2000,
Ben,Simmons,Philadelphia 76ers,Los Angeles Lakers,4,10,8,92,107,2016,
Ben,Simmons,Philadelphia 76ers,Charlotte Bobcats,2,3,9,55,80,2008,
Ben,Simmons,Philadelphia 76ers,Utah Jazz,17,14,10,75,92,2001,
Ben,Simmons,Philadelphia 76ers,Atlanta Hawks,10,0,4,58,100,2012,
Ben,Simmons,Philadelphia 76ers,Toronto Raptors,7,0,6,54,96,2013,
Ben,Simmons,Philadelphia 76ers,Boston Celtics,2,3,7,79,60,2009,
Ben,Simmons,Philadelphia 76ers,Brooklyn Nets,14,7,7,74,86,2003,
Ben,Simmons,Philadelphia 76ers,Memphis Grizzlies,6,14,8,103,75,2006,
Ben,Simmons,Philadelphia 76ers,Miami Heat,12,10,6,54,105,2018,
Ben,Simmons,Philadelphia 76ers,Portland Trail Blazers,14,0,10,72,108,2014,
Ben,Simmons,Philadelphia 76ers,Miami Heat,0,13,8,82,65,2015,
Ben,Simmons,Philadelphia 76ers,Golden State Warriors,19,11,3,106,75,2014,
Ben,Simmons,Philadelphia 76ers,Sacramento Kings,3,7,0,61,72,2003,
Ben,Simmons,Philadelphia 76ers,Cleveland Cavaliers,3,13,1,104,87,2006,
Ben,Simmons,Philadelphia 76ers,Denver Nuggets,16,4,1,100,70,2008,
Ben,Simmons,Philadelphia 76ers,Brooklyn Nets,17,14,11,63,102,2004,
Ben,Simmons,Philadelphia 76ers,Sacramento Kings,10,8,11,95,63,2015,
Ben,Simmons,Philadelphia 76ers,Oklahoma City Thunder,10,7,6,56,103,2002,
Ben,Simmons,Philadelphia 76ers,Atlanta Hawks,13,13,8,78,108,2001,
Ben,Simmons,Philadelphia 76ers,Detroit Pistons,15,6,3,92,69,2001,
Ben,Simmons,Philadelphia 76ers,Atlanta Hawks,12,4,8,55,53,2004,
Ben,Simmons,Philadelphia 76ers,New Orleans Hornets,9,0,8,56,69,2010,
Ben,Simmons,Philadelphia 76ers,Orlando Magic,11,0,0,91,63,2004,
Ben,Simmons,Philadelphia 76ers,Washington Wizards,4,5,7,96,91,2018,
Ben,Simmons,Philadelphia 76ers,Memphis Grizzlies,4,7,10,50,90,2002,
Ben,Simmons,Philadelphia 76ers,Atlanta Hawks,15,9,12,105,99,2000,
Ben,Simmons,Philadelphia 76ers,New Orleans Hornets,16,13,6,103,109,2011,
Ben,Simmons,Philadelphia 76ers,New Orleans Hornets,18,6,0,56,69,2006,
Ben,Simmons,Philadelphia 76ers,Los Angeles Lakers,5,2,10,98,50,2014,
Ben,Simmons,Philadelphia 76ers,Los Angeles Clippers,8,5,4,82,105,2018,
Ben,Simmons,Philadelphia 76ers,Los Angeles Lakers,9,6,2,75,53,2003,
Ben,Simmons,Philadelphia 76ers,Chicago Bulls,19,2,5,100,100,2014,
Ben,Simmons,Philadelphia 76ers,Phoenix Suns,11,6,2,90,109,2003,
Ben,Simmons,Philadelphia 76ers,Dallas Mavericks,11,13,1,72,68,2002,
Ben,Simmons,Philadelphia 76ers,San Antonio Spurs,2,0,7,70,78,2000,
Ben,Simmons,Philadelphia 76ers,Orlando Magic,16,5,2,74,95,2007,
Ben,Simmons,Philadelphia 76ers,New York Knicks,2,14,10,88,95,2011,
Ben,Simmons,Philadelphia 76ers,Toronto Raptors,5,11,3,70,87,2012,
Ben,Simmons,Philadelphia 76ers,San Antonio Spurs,17,11,6,108,52,2017,
Ben,Simmons,Philadelphia 76ers,Charlotte Bobcats,9,1,6,104,87,2012,
Ben,Simmons,Philadelphia 76ers,Utah Jazz,0,11,10,81,50,2005,
Ben,Simmons,Philadelphia 76ers,Utah Jazz,17,7,13,81,93,2006,
Ben,Simmons,Philadelphia 76ers,Miami Heat,3,5,5,54,75,2004,
Ben,Simmons,Philadelphia 76ers,Toronto Raptors,14,2,7,52,80,2003,
Ben,Simmons,Philadelphia 76ers,Memphis Grizzlies,15,6,14,84,90,2004,
Ben,Simmons,Philadelphia 76ers,Golden State Warriors,1,1,2,94,72,2017,
Ben,Simmons,Philadelphia 76ers,Toronto Raptors,18,11,4,69,67,2012,
Ben,Simmons,Philadelphia 76ers,Portland Trail Blazers,10,6,12,105,66,2010,
Ben,Simmons,Philadelphia 76ers,Cleveland Cavaliers,12,3,13,88,86,2017,
Ben,Simmons,Philadelphia 76ers,Indiana Pacers,8,7,8,99,50,2000,
Ben,Simmons,Philadelphia 76ers,Washington Wizards,12,7,9,109,105,2011,
Ben,Simmons,Philadelphia 76ers,Oklahoma City Thunder,4,5,1,81,58,2010,
Ben,Simmons,Philadelphia 76ers,Golden State Warriors,8,9,10,103,57,2001,
Ben,Simmons,Philadelphia 76ers,Portland Trail Blazers,3,3,1,108,66,2008,
Ben,Simmons,Philadelphia 76ers,Chicago Bulls,4,9,13,106,87,2001,
Ben,Simmons,Philadelphia 76ers,Los Angeles Lakers,13,0,2,52,69,2001,
Ben,Simmons,Philadelphia 76ers,Minnesota Timberwolves,7,1,11,58,77,2012,
Ben,Simmons,Philadelphia 76ers,Detroit Pistons,1,7,6,98,61,2009,
Ben,Simmons,Philadelphia 76ers,Sacramento Kings,0,0,13,109,105,2009,
Ben,Simmons,Philadelphia 76ers,Houston Rockets,14,12,7,65,86,2012,
Ben,Simmons,Philadelphia 76ers,Cleveland Cavaliers,7,14,10,88,105,2014,
Ben,Simmons,Philadelphia 76ers,Portland Trail Blazers,2,12,2,53,58,2018,
Ben,Simmons,Philadelphia 76ers,Houston Rockets,4,3,9,95,87,2013,
Ben,Simmons,Philadelphia 76ers,Denver Nuggets,16,5,9,69,82,2001,
Ben,Simmons,Philadelphia 76ers,Toronto Raptors,11,12,8,84,64,2017,
Ben,Simmons,Philadelphia 76ers,Sacramento Kings,14,13,4,73,56,2014,
Ben,Simmons,Philadelphia 76ers,Los Angeles Lakers,9,8,11,54,51,2014,
Ben,Simmons,Philadelphia 76ers,Los Angeles Lakers,8,9,7,102,83,2002,
Ben,Simmons,Philadelphia 76ers,Charlotte Bobcats,7,12,3,101,68,2008,
Ben,Simmons,Philadelphia 76ers,Brooklyn Nets,6,10,5,79,64,2013,
Ben,Simmons,Philadelphia 76ers,Brooklyn Nets,16,13,4,53,77,2008,
Ben,Simmons,Philadelphia 76ers,Golden State Warriors,11,3,3,97,81,2011,
Ben,Simmons,Philadelphia 76ers,New York Knicks,15,3,6,89,87,2010,
Ben,Simmons,Philadelphia 76ers,Golden State Warriors,5,12,6,83,51,2000,
Ben,Simmons,Philadelphia 76ers,Sacramento Kings,5,9,14,81,75,2014,
Ben,Simmons,Philadelphia 76ers,San Antonio Spurs,14,12,11,82,83,2001,
Ben,Simmons,Philadelphia 76ers,Atlanta Hawks,14,10,11,67,69,2017,
Ben,Simmons,Philadelphia 76ers,Utah Jazz,17,10,8,94,76,2004,
Ben,Simmons,Philadelphia 76ers,Oklahoma City Thunder,8,10,2,51,60,2007,
Ben,Simmons,Philadelphia 76ers,Memphis Grizzlies,11,6,13,109,66,2008,
Ben,Simmons,Philadelphia 76ers,Atlanta Hawks,19,8,8,93,76,2018,
Ben,Simmons,Philadelphia 76ers,Los Angeles Clippers,0,4,3,105,81,2004,
Ben,Simmons,Philadelphia 76ers,Cleveland Cavaliers,3,12,11,52,69,2014,
Ben,Simmons,Philadelphia 76ers,Charlotte Bobcats,1,8,14,94,88,2008,
Ben,Simmons,Philadelphia 76ers,Charlotte Bobcats,2,5,13,51,105,2014,
Ben,Simmons,Philadelphia 76ers,Los Angeles Clippers,8,3,6,85,60,2012,
Ben,Simmons,Philadelphia 76ers,San Antonio Spurs,3,5,8,76,80,2006,
Ben,Simmons,Philadelphia 76ers,Orlando Magic,19,0,5,107,68,2007,
Ben,Simmons,Philadelphia 76ers,Cleveland Cavaliers,8,12,1,52,83,2015,
Ben,Simmons,Philadelphia 76ers,Oklahoma City Thunder,1,6,14,95,80,2012,
Ben,Simmons,Philadelphia 76ers,Memphis Grizzlies,2,2,4,106,66,2007,
Ben,Simmons,Philadelphia 76ers,Brooklyn Nets,12,14,9,77,94,2011,
Ben,Simmons,Philadelphia 76ers,Los Angeles Clippers,3,13,4,100,98,2008,
Ben,Simmons,Philadelphia 76ers,San Antonio Spurs,17,9,5,65,90,2000,
Ben,Simmons,Philadelphia 76ers,Chicago Bulls,1,3,3,56,68,2004,
Ben,Simmons,Philadelphia 76ers,New York Knicks,11,14,12,59,53,2004,
Ben,Simmons,Philadelphia 76ers,Sacramento Kings,18,2,7,85,74,2017,
Ben,Simmons,Philadelphia 76ers,Phoenix Suns,12,12,4,91,57,2007,
Ben,Simmons,Philadelphia 76ers,Orlando Magic,9,13,4,65,53,2013,
Ben,Simmons,Philadelphia 76ers,Toronto Raptors,9,0,9,86,77,2011,
Ben,Simmons,Philadelphia 76ers,Charlotte Bobcats,19,7,1,90,99,2003,
Ben,Simmons,Philadelphia 76ers,Oklahoma City Thunder,12,10,2,79,97,2004,
Ben,Simmons,Philadelphia 76ers,Portland Trail Blazers,4,13,3,73,80,2012,
Ben,Simmons,Philadelphia 76ers,Charlotte Bobcats,4,9,8,59,103,2012,
Ben,Simmons,Philadelphia 76ers,New York Knicks,0,6,3,66,53,2004,
Ben,Simmons,Philadelphia 76ers,Milwaukee Bucks,10,2,14,79,85,2000,
Ben,Simmons,Philadelphia 76ers,Oklahoma City Thunder,16,0,13,103,57,2015,
Ben,Simmons,Philadelphia 76ers,Atlanta Hawks,16,4,5,67,96,2006,
Ben,Simmons,Philadelphia 76ers,New York Knicks,13,4,13,83,82,2003,
Ben,Simmons,Philadelphia 76ers,New York Knicks,14,9,1,56,82,2004,
Ben,Simmons,Philadelphia 76ers,New Orleans Hornets,7,10,9,90,69,2011,
Ben,Simmons,Philadelphia 76ers,Utah Jazz,1,10,12,83,74,2000,
Ben,Simmons,Philadelphia 76ers,Chicago Bulls,5,5,1,72,72,2006,
Ben,Simmons,Philadelphia 76ers,Phoenix Suns,4,8,3,106,75,2001,
Ben,Simmons,Philadelphia 76ers,Chicago Bulls,12,11,13,98,92,2017,
Ben,Simmons,Philadelphia 76ers,Brooklyn Nets,13,14,14,86,104,2008,
Ben,Simmons,Philadelphia 76ers,Chicago Bulls,13,13,3,61,78,2000,
Ben,Simmons,Philadelphia 76ers,New Orleans Hornets,9,13,7,72,66,2015,
Ben,Simmons,Philadelphia 76ers,Atlanta Hawks,8,3,8,61,74,2000,
Ben,Simmons,Philadelphia 76ers,Houston Rockets,7,12,7,83,101,2008,
Ben,Simmons,Philadelphia 76ers,Golden State Warriors,13,6,0,93,92,2006,
Ben,Simmons,Philadelphia 76ers,Memphis Grizzlies,9,10,1,104,60,2015,
Ben,Simmons,Philadelphia 76ers,Charlotte Bobcats,9,4,13,96,103,2018,
Kevin,Durant,New York Knicks,Detroit Pistons,1,8,12,53,55,2001,
Kevin,Durant,New York Knicks,Dallas Mavericks,10,12,10,54,65,2012,
Kevin,Durant,New York Knicks,Houston Rockets,17,7,4,69,86,2008,
Kevin,Durant,New York Knicks,Portland Trail Blazers,6,3,11,56,67,2017,
Kevin,Durant,New York Knicks,Utah Jazz,5,12,3,108,101,2011,
Kevin,Durant,New York Knicks,Milwaukee Bucks,4,9,11,99,81,2010,
Kevin,Durant,New York Knicks,Oklahoma City Thunder,0,6,4,58,71,2003,
Kevin,Durant,New York Knicks,Indiana Pacers,15,4,10,83,66,2015,
Kevin,Durant,New York Knicks,Utah Jazz,4,3,14,66,90,2006,
Kevin,Durant,New York Knicks,Milwaukee Bucks,9,12,4,52,66,2006,
Kevin,Durant,New York Knicks,Oklahoma City Thunder,3,6,12,99,84,2010,
Kevin,Durant,New York Knicks,Memphis Grizzlies,5,2,14,57,97,2003,
Kevin,Durant,New York Knicks,Charlotte Bobcats,18,6,4,52,85,2002,
Kevin,Durant,New York Knicks,Indiana Pacers,4,4,14,83,95,2010,
Kevin,Durant,New York Knicks,Chicago Bulls,19,1,9,92,98,2016,
Kevin,Durant,New York Knicks,Los Angeles Lakers,14,7,7,73,107,2014,
Kevin,Durant,New York Knicks,San Antonio Spurs,8,8,0,102,67,2012,
Kevin,Durant,New York Knicks,Golden State Warriors,0,5,5,78,66,2012,
Kevin,Durant,New York Knicks,Golden State Warriors,10,4,13,56,75,2000,
Kevin,Durant,New York Knicks,Philadelphia 76ers,12,8,11,79,105,2005,
Kevin,Durant,New York Knicks,Los Angeles Clippers,1,6,5,57,102,2007,
Kevin,Durant,New York Knicks,Oklahoma City Thunder,0,11,10,59,59,2015,
Kevin,Durant,New York Knicks,Chicago Bulls,1,10,11,96,69,2000,
Kevin,Durant,New York Knicks,Memphis Grizzlies,13,10,0,52,53,2013,
Kevin,Durant,New York Knicks,Cleveland Cavaliers,17,4,1,87,88,2011,
Kevin,Durant,New York Knicks,Boston Celtics,4,7,8,87,51,2005,
Kevin,Durant,New York Knicks,Milwaukee Bucks,7,8,13,82,76,2015,
Kevin,Durant,New York Knicks,Milwaukee Bucks,17,6,9,70,54,2015,
Kevin,Durant,New York Knicks,Golden State Warriors,9,12,6,83,65,2018,
Kevin,Durant,New York Knicks,Brooklyn Nets,6,4,0,109,88,2016,
Kevin,Durant,New York Knicks,Golden State Warriors,14,14,10,90,97,2003,
Kevin,Durant,New York Knicks,Los Angeles Lakers,13,0,11,77,83,2006,
Kevin,Durant,New York Knicks,Chicago Bulls,19,11,1,81,109,2002,
Kevin,Durant,New York Knicks,Chicago Bulls,0,4,14,54,102,2012,
Kevin,Durant,New York Knicks,Orlando Magic,10,14,13,50,68,2017,
Kevin,Durant,New York Knicks,Los Angeles Clippers,12,12,5,66,55,2001,
Kevin,Durant,New York Knicks,Los Angeles Lakers,2,2,10,59,70,2009,
Kevin,Durant,New York Knicks,Dallas Mavericks,14,0,10,100,53,2008,
Kevin,Durant,New York Knicks,Utah Jazz,1,14,9,97,61,2017,
Kevin,Durant,New York Knicks,New Orleans Hornets,7,7,0,65,76,2017,
Kevin,Durant,New York Knicks,Charlotte Bobcats,7,1,7,82,61,2005,
Kevin,Durant,New York Knicks,Milwaukee Bucks,18,0,7,88,70,2005,
Kevin,Durant,New York Knicks,Sacramento Kings,5,7,8,51,63,2005,
Kevin,Durant,New York Knicks,Portland Trail Blazers,3,6,4,74,76,2010,
Kevin,Durant,New York Knicks,Charlotte Bobcats,14,8,0,93,97,2011,
Kevin,Durant,New York Knicks,New Orleans Hornets,5,9,12,59,100,2011,
Kevin,Durant,New York Knicks,Houston Rockets,19,4,3,95,99,2008,
Kevin,Durant,New York Knicks,Miami Heat,0,3,7,63,51,2017,
Kevin,Durant,New York Knicks,Detroit Pistons,8,8,5,106,55,2009,
Kevin,Durant,New York Knicks,Indiana Pacers,19,1,8,50,91,2008,
Kevin,Durant,New York Knicks,Chicago Bulls,12,9,0,65,50,2013,
Kevin,Durant,New York Knicks,Milwaukee Bucks,12,13,2,60,90,2007,
Kevin,Durant,New York Knicks,Minnesota Timberwolves,1,5,9,90,88,2015,
Kevin,Durant,New York Knicks,Washington Wizards,12,4,1,60,77,2002,
Kevin,Durant,New York Knicks,Portland Trail Blazers,5,10,1,81,81,2014,
Kevin,Durant,New York Knicks,Philadelphia 76ers,3,6,0,81,103,2000,
Kevin,Durant,New York Knicks,Boston Celtics,12,11,9,58,56,2004,
Kevin,Durant,New York Knicks,Phoenix Suns,5,3,8,81,73,2006,
Kevin,Durant,New York Knicks,Los Angeles Lakers,19,7,6,56,67,2015,
Kevin,Durant,New York Knicks,Orlando Magic,16,12,3,71,53,2015,
Kevin,Durant,New York Knicks,Detroit Pistons,16,6,4,105,78,2017,
Kevin,Durant,New York Knicks,Minnesota Timberwolves,9,1,7,62,77,2008,
Kevin,Durant,New York Knicks,Chicago Bulls,13,1,1,66,75,2018,
Kevin,Durant,New York Knicks,Utah Jazz,12,3,6,82,64,2014,
Kevin,Durant,New York Knicks,Indiana Pacers,16,12,13,63,70,2009,
Kevin,Durant,New York Knicks,Los Angeles Lakers,9,12,1,50,82,2018,
Kevin,Durant,New York Knicks,Toronto Raptors,4,5,0,65,84,2016,
Kevin,Durant,New York Knicks,Boston Celtics,16,14,4,60,61,2009,
Kevin,Durant,New York Knicks,Miami Heat,12,1,10,62,90,2003,
Kevin,Durant,New York Knicks,Portland Trail Blazers,0,2,10,73,88,2007,
Kevin,Durant,New York Knicks,Milwaukee Bucks,0,2,7,98,80,2018,
Kevin,Durant,New York Knicks,Brooklyn Nets,1,3,14,103,50,2008,
Kevin,Durant,New York Knicks,Detroit Pistons,0,5,1,109,57,2018,
Kevin,Durant,New York Knicks,Philadelphia 76ers,15,0,13,87,97,2014,
Kevin,Durant,New York Knicks,Charlotte Bobcats,2,2,8,77,101,2013,
Kevin,Durant,New York Knicks,Phoenix Suns,14,5,10,65,67,2005,
Kevin,Durant,New York Knicks,Indiana Pacers,5,0,1,95,61,2018,
Kevin,Durant,New York Knicks,Houston Rockets,10,3,0,67,50,2012,
Kevin,Durant,New York Knicks,Phoenix Suns,3,6,4,90,95,2013,
Kevin,Durant,New York Knicks,Miami Heat,0,2,13,70,83,2008,
Kevin,Durant,New York Knicks,Memphis Grizzlies,12,7,14,88,60,2000,
Kevin,Durant,New York Knicks,San Antonio Spurs,9,2,0,101,54,2002,
Kevin,Durant,New York Knicks,Indiana Pacers,10,1,4,54,82,2011,
Kevin,Durant,New York Knicks,Sacramento Kings,4,4,5,76,77,2011,
Kevin,Durant,New York Knicks,Portland Trail Blazers,4,5,9,63,95,2018,
Kevin,Durant,New York Knicks,Denver Nuggets,6,13,1,101,60,2009,
Kevin,Durant,New York Knicks,Utah Jazz,2,11,1,67,94,2014,
Kevin,Durant,New York Knicks,Oklahoma City Thunder,14,8,2,69,62,2009,
Kevin,Durant,New York Knicks,Chicago Bulls,11,12,6,79,80,2002,
Kevin,Durant,New York Knicks,Charlotte Bobcats,13,3,14,52,71,2005,
Kevin,Durant,New York Knicks,Boston Celtics,16,3,10,97,84,2002,
Kevin,Durant,New York Knicks,Los Angeles Lakers,7,11,2,85,61,2012,
Kevin,Durant,New York Knicks,Brooklyn Nets,13,1,0,104,54,2017,
Kevin,Durant,New York Knicks,Philadelphia 76ers,15,5,9,78,79,2008,
Kevin,Durant,New York Knicks,Atlanta Hawks,17,12,1,54,85,2012,
Kevin,Durant,New York Knicks,Golden State Warriors,1,10,13,55,97,2010,
Kevin,Durant,New York Knicks,Los Angeles Lakers,19,14,4,52,69,2013,
Kevin,Durant,New York Knicks,Los Angeles Lakers,4,13,8,88,85,2017,
Kevin,Durant,New York Knicks,Orlando Magic,0,14,6,105,93,2009,
Kevin,Durant,New York Knicks,Chicago Bulls,7,7,13,74,106,2001,
Kevin,Durant,New York Knicks,Boston Celtics,15,5,12,67,82,2005,
Kevin,Durant,New York Knicks,Orlando Magic,1,4,6,100,59,2000,
Kevin,Durant,New York Knicks,Philadelphia 76ers,10,3,13,85,83,2011,
Kevin,Durant,New York Knicks,Toronto Raptors,1,8,8,56,107,2003,
Kevin,Durant,New York Knicks,Brooklyn Nets,19,14,0,59,106,2011,
Kevin,Durant,New York Knicks,Portland Trail Blazers,3,12,11,61,67,2014,
Kevin,Durant,New York Knicks,Houston Rockets,14,7,12,55,86,2004,
Kevin,Durant,New York Knicks,Sacramento Kings,16,9,10,98,56,2004,
Kevin,Durant,New York Knicks,Dallas Mavericks,9,4,11,106,61,2012,
